name,lat,long,time,dist,elev
system to first house,18.057965600000003,-66.03157180000001,2019-08-05 17:50:12+00:00,0.0001801849723465989,168.728
system to first house,18.0579298,-66.03156379999999,2019-08-05 17:50:13+00:00,0.0001801849723465989,167.648
system to first house,18.057904999999998,-66.0315566,2019-08-05 17:50:14+00:00,0.0001801849723465989,166.288
system to first house,18.057888,-66.03154939999999,2019-08-05 17:50:15+00:00,0.0001801849723465989,164.848
system to first house,18.057873,-66.0315454,2019-08-05 17:50:16+00:00,0.0001801849723465989,164.348
system to first house,18.0578548,-66.03153979999999,2019-08-05 17:50:17+00:00,0.0001801849723465989,163.898
system to first house,18.0578322,-66.03153879999999,2019-08-05 17:50:18+00:00,0.0001801849723465989,164.27800000000002
system to first house,18.0578082,-66.03154,2019-08-05 17:50:19+00:00,0.0001801849723465989,164.078
system to first house,18.057783800000006,-66.0315482,2019-08-05 17:50:20+00:00,0.0001801849723465989,164.058
system to first house,18.057764199999998,-66.0315632,2019-08-05 17:50:21+00:00,0.0001801849723465989,163.988
system to first house,18.0577436,-66.03158260000001,2019-08-05 17:50:22+00:00,0.0001801849723465989,163.92800000000003
system to first house,18.057723000000006,-66.03160740000001,2019-08-05 17:50:23+00:00,0.0001801849723465989,163.938
system to first house,18.0576976,-66.0316318,2019-08-05 17:50:24+00:00,0.0001801849723465989,163.92800000000003
system to first house,18.057672200000006,-66.03165720000001,2019-08-05 17:50:25+00:00,0.0001801849723465989,163.858
system to first house,18.0576398,-66.03167739999999,2019-08-05 17:50:26+00:00,0.0001801849723465989,163.808
system to first house,18.057608399999996,-66.03169340000001,2019-08-05 17:50:27+00:00,0.0001801849723465989,163.608
system to first house,18.057571000000006,-66.03170420000001,2019-08-05 17:50:28+00:00,0.0001801849723465989,163.42800000000003
system to first house,18.0575326,-66.03171060000001,2019-08-05 17:50:29+00:00,0.0001801849723465989,163.288
system to first house,18.057492600000003,-66.03171660000001,2019-08-05 17:50:30+00:00,0.0001801849723465989,163.17800000000003
system to first house,18.0574486,-66.0317222,2019-08-05 17:50:31+00:00,0.0001801849723465989,163.19799999999998
system to first house,18.0574046,-66.03172839999999,2019-08-05 17:50:32+00:00,0.0001801849723465989,163.12800000000004
system to first house,18.057360000000006,-66.031735,2019-08-05 17:50:33+00:00,0.0001801849723465989,162.948
system to first house,18.0573188,-66.0317404,2019-08-05 17:50:34+00:00,0.0001801849723465989,162.73800000000003
system to first house,18.0572806,-66.0317464,2019-08-05 17:50:35+00:00,0.0001801849723465989,162.558
system to first house,18.057244600000004,-66.0317522,2019-08-05 17:50:36+00:00,0.0001801849723465989,162.47799999999998
system to first house,18.057208,-66.03175999999999,2019-08-05 17:50:37+00:00,0.0001801849723465989,162.40800000000002
system to first house,18.057171399999998,-66.03176719999999,2019-08-05 17:50:38+00:00,0.0001801849723465989,162.33800000000002
system to first house,18.0571346,-66.03178079999999,2019-08-05 17:50:39+00:00,0.0001801849723465989,161.118
system to first house,18.057098,-66.03179560000001,2019-08-05 17:50:40+00:00,0.0001801849723465989,159.83800000000002
system to first house,18.057060600000003,-66.0318146,2019-08-05 17:50:41+00:00,0.0001801849723465989,158.13800000000003
system to first house,18.057023,-66.0318338,2019-08-05 17:50:42+00:00,0.0001801849723465989,157.06800000000004
system to first house,18.056988600000004,-66.0318522,2019-08-05 17:50:43+00:00,0.0001801849723465989,156.56800000000004
system to first house,18.0569616,-66.0318678,2019-08-05 17:50:44+00:00,0.0001801849723465989,156.168
system to first house,18.0569346,-66.031885,2019-08-05 17:50:45+00:00,0.0001801849723465989,156.108
system to first house,18.0569148,-66.0318978,2019-08-05 17:50:47+00:00,0.0001801849723465989,156.118
system to first house,18.056890600000006,-66.03191140000001,2019-08-05 17:50:48+00:00,0.0001801849723465989,156.248
system to first house,18.0568726,-66.03192340000001,2019-08-05 17:50:49+00:00,0.0001801849723465989,156.23800000000003
system to first house,18.0568546,-66.03193540000001,2019-08-05 17:50:50+00:00,0.0001801849723465989,156.168
system to first house,18.0568376,-66.03195120000001,2019-08-05 17:50:51+00:00,0.0001801849723465989,156.06800000000004
system to first house,18.056817199999998,-66.03197,2019-08-05 17:50:52+00:00,0.0001801849723465989,155.938
system to first house,18.056795,-66.0319934,2019-08-05 17:50:53+00:00,0.0001801849723465989,155.788
system to first house,18.05677,-66.0320208,2019-08-05 17:50:54+00:00,0.0001801849723465989,155.65800000000002
system to first house,18.056741,-66.03205260000001,2019-08-05 17:50:55+00:00,0.0001801849723465989,155.77800000000002
